iter	Passed	Remaining
0	510	510328
1	515	257268
2	519	172705
3	523	130446
4	529	105408
5	533	88419
6	537	76275
7	543	67455
8	548	60342
9	549	54428
10	551	49585
11	553	45573
12	556	42234
13	558	39326
14	560	36787
15	562	34571
16	564	32617
17	566	30881
18	567	29311
19	569	27921
20	571	26665
21	573	25503
22	575	24438
23	576	23460
24	578	22559
25	580	21744
26	582	20976
27	585	20317
28	587	19665
29	589	19048
30	590	18470
31	592	17929
32	594	17424
33	596	16943
34	598	16489
35	601	16099
36	603	15698
37	604	15315
38	606	14950
39	608	14604
40	610	14278
41	612	13969
42	615	13698
43	617	13423
44	619	13151
45	621	12890
46	623	12644
47	625	12405
48	627	12177
49	629	11968
50	632	11763
51	634	11558
52	635	11361
53	637	11173
54	639	10990
55	641	10814
56	643	10653
57	646	10495
58	648	10336
59	650	10184
60	651	10035
61	653	9891
62	655	9751
63	657	9616
64	659	9492
65	662	9371
66	664	9248
67	665	9126
68	667	9009
69	669	8895
70	671	8783
71	673	8685
72	676	8589
73	678	8487
74	680	8387
75	681	8290
76	683	8194
77	685	8102
78	687	8012
79	690	7935
80	692	7856
81	694	7771
82	695	7680
83	697	7600
84	698	7523
85	700	7447
86	702	7374
87	705	7309
88	707	7239
89	709	7169
90	710	7100
91	712	7035
92	714	6969
93	716	6905
94	719	6851
95	721	6792
96	723	6731
97	724	6671
98	726	6612
99	728	6554
100	730	6498
101	731	6443
102	734	6397
103	736	6349
104	738	6297
105	740	6246
106	742	6197
107	744	6146
108	746	6098
109	749	6061
110	751	6017
111	753	5972
112	755	5927
113	756	5882
114	758	5838
115	760	5796
116	762	5753
117	764	5716
118	766	5676
119	768	5635
120	770	5595
121	771	5555
122	773	5517
123	775	5480
124	778	5446
125	780	5414
126	782	5375
127	783	5339
128	785	5306
129	787	5271
130	789	5238
131	791	5204
132	794	5178
133	796	5146
134	798	5114
135	800	5083
136	802	5054
137	805	5028
138	808	5006
139	810	4978
140	812	4949
141	813	4915
142	815	4886
143	817	4858
144	819	4831
145	821	4803
146	824	4783
